id,word2vec
174,"[0.0701065531000495,0.33123733643442393,0.10759633351117373,-0.10588146029040219,0.13739839997142553]"
175,"[0.21553393080830574,0.19106921795755627,0.03778929470572621,-0.07469195015728473,0.22388509940356016]"
176,"[0.08458955491530812,0.11083942096835622,0.11631172701405981,-0.0806368912389088,0.01951072665138377]"
177,"[0.18461153735048497,0.26358595633736026,0.13576458831532645,-0.0727372055586714,0.09301642944606452]"
178,"[0.0940382826665882,0.2073837941570673,0.148765790858306,-0.06768578966148198,0.0411943708313629]"
179,"[0.15116124682347565,0.189542938297724,0.03414793728905566,-0.0460183556903811,0.10965150463230469]"
180,"[0.11639232266073425,0.29651465329031146,0.09331664660324653,-0.13230034666291127,0.1078799213670815]"
181,"[0.07792519521899521,0.2246122547340664,0.12592713594097982,-0.026553850642151454,0.02063815054399046]"
182,"[0.19735670189062754,0.2059690661728382,0.06602492853999138,-0.09445759405692418,0.05741091606517633]"
183,"[0.07834375895825879,0.3082195303535887,0.20225216242085609,-0.026852097229233807,0.06655326272760119]"
184,"[0.21380576186559416,0.36844511285678233,0.1312695311128416,-0.1694995312189514,0.07234552714296363]"
185,"[0.0912205926142633,0.38064002845203504,0.16604159987764433,-0.0810942123644054,0.032190497033298016]"
186,"[0.04769764937061284,0.16314001567661762,0.12301274455551589,0.027867924056148952,-0.09991155027611447]"
187,"[-0.029680395343651373,0.295846131319801,0.16141513579835493,-0.15428497549146414,0.08884090899179378]"
188,"[0.029523652667800587,0.2856778343518575,0.14666560192902883,0.03019780544564128,0.07728532080849011]"
189,"[0.14798446071262544,0.32943265842130554,0.15936961970650235,-0.10040124584562504,0.09726635423990397]"
190,"[0.09679072092358883,0.36521727720705366,0.11557358732590309,-0.02392645130077234,0.07719154627277301]"
191,"[0.17001846856014297,0.3617499897425825,0.17755250522697513,-0.14959616578099402,0.14001472078433091]"
192,"[0.0513284200659165,0.33552736839136255,0.1528188232332468,-0.05374850719594039,0.14543711395862585]"
193,"[0.18741903081536293,0.1821850004859946,0.03276070427488197,-0.028719788586551494,0.09392523663965138]"
194,"[-0.06839936301112175,0.22426673620939255,0.13874361626803874,-0.19213173985481263,0.15626905225217344]"
195,"[0.10963269074757893,0.32284554839134216,0.18253174941572878,-0.1825705086812377,0.09953409516149096]"
196,"[0.08882335278516014,0.2515975961254703,0.12471712629000345,-0.19900952786621118,0.05853643728834059]"
197,"[-0.023543478548526765,0.27048632577061654,0.16411504596471788,-0.09720906876027585,0.12731028450652956]"
198,"[0.12176120653748512,0.2901759917980858,0.21116593187408786,-0.1833951723362718,0.14177147804626397]"
199,"[0.2514815301530891,0.3394336440703935,-0.013811619745360479,-0.22048596748047403,0.20966286915871832]"
200,"[0.009843913838267326,0.2740256541541644,0.14242225672517503,-0.021831614630562917,0.0500405837249543]"
201,"[0.013645536369747585,0.3253799176050557,0.20922489795419905,-0.2271681258247958,0.07256056502875353]"
202,"[-0.048346932395361364,0.22963038482703269,0.1808314765803516,-0.044085879577323794,0.10266693274024874]"
203,"[0.019635781412944198,0.3713343986310065,0.14197486522607505,0.0711514848517254,-0.0014312285638879985]"
204,"[0.03379870089702308,0.38522495701909065,0.15477127605117857,0.05436194397043437,0.00682881916873157]"
205,"[0.0008086804300546646,0.18181534558534623,0.27038529235869646,-0.12732829181477429,0.052693516761064534]"
